type_,start_date_local_,distance_sum,distance_mean,distance_min,distance_max,moving_time_sum,moving_time_mean,moving_time_min,moving_time_max,total_elevation_gain_sum,total_elevation_gain_mean,total_elevation_gain_min,total_elevation_gain_max
Run,2022-04-23 19:05:35+02:00,10013.5,10013.5,10013.5,10013.5,3036,3036,3036,3036,28.0,28.0,28.0,28.0
Run,2022-04-22 17:07:31+02:00,2720.4,2720.4,2720.4,2720.4,2082,2082,2082,2082,5.0,5.0,5.0,5.0
Run,2022-04-21 21:50:55+02:00,1756.9,1756.9,1756.9,1756.9,784,784,784,784,5.0,5.0,5.0,5.0
Run,2022-04-20 21:11:05+02:00,2158.1,2158.1,2158.1,2158.1,797,797,797,797,3.0,3.0,3.0,3.0
Run,2022-04-19 19:05:14+02:00,6133.8,6133.8,6133.8,6133.8,2224,2224,2224,2224,10.0,10.0,10.0,10.0
Run,2022-04-18 18:00:57+02:00,4059.9,4059.9,4059.9,4059.9,1379,1379,1379,1379,8.0,8.0,8.0,8.0
Run,2022-04-17 21:59:13+02:00,3016.7,3016.7,3016.7,3016.7,870,870,870,870,9.0,9.0,9.0,9.0
Run,2022-04-16 20:40:29+02:00,2012.2,2012.2,2012.2,2012.2,642,642,642,642,3.0,3.0,3.0,3.0
Ride,2022-04-16 18:55:50+02:00,50552.8,50552.8,50552.8,50552.8,6049,6049,6049,6049,274.0,274.0,274.0,274.0
Ride,2022-04-16 09:05:17+02:00,55029.8,55029.8,55029.8,55029.8,6729,6729,6729,6729,316.0,316.0,316.0,316.0
Ride,2022-04-15 17:33:50+02:00,8528.5,8528.5,8528.5,8528.5,1221,1221,1221,1221,63.0,63.0,63.0,63.0
Run,2022-04-15 13:41:07+02:00,3086.0,3086.0,3086.0,3086.0,991,991,991,991,94.0,94.0,94.0,94.0
Swim,2022-04-15 12:39:32+02:00,2475.0,2475.0,2475.0,2475.0,2889,2889,2889,2889,0.0,0.0,0.0,0.0
Run,2022-04-15 12:21:31+02:00,2750.8,2750.8,2750.8,2750.8,798,798,798,798,6.0,6.0,6.0,6.0
Ride,2022-04-15 08:50:50+02:00,8456.8,8456.8,8456.8,8456.8,1148,1148,1148,1148,72.0,72.0,72.0,72.0
Ride,2022-04-14 18:18:07+02:00,8350.0,8350.0,8350.0,8350.0,1115,1115,1115,1115,73.0,73.0,73.0,73.0
